NAME,ADDRESS,PRICE,DISTANCE,TYPE,IMAGE,LAT ,LON
Allen Temple Food Pantry,4214 NE 8th Ave Portland OR 97211,Free,0,Food Pantry,/images/allenTemple.jpg,45.55412,-122.65732
Arby's,3171 N Lombard St Portland OR 97217,$,0,Fast Food,/images/arbys.jpg,45.554119,-122.657318
Arby's,10071 SE Washington St Portland OR 97216,$,0,Fast Food,/images/arbys.jpg,45.51869,-122.55935
Blanchet House,310 NW Glisan St Portland OR 97209,Free,0,Food Pantry,/images/blanchet.jpg,45.52646,-122.67383
Bombay Chaat House,804 SW 12th Ave Portland OR 97205,$,0,Restaurant,/images/bombay.jpg,45.51947,-122.68436
Burger King,12225 N Jantzen Ave Portland OR 97217,$,0,Fast Food,/images/burgerKing.jpg,45.61076,-122.686
Burgerville,8671 N Ivanhoe St Portland OR 97203,$$,0,Fast Food,/images/burgerville.jpg,45.58997,-122.75556
Burgerville,1122 SE Hawthorne Blvd Portland OR 97214,$$,0,Fast Food,/images/burgerville.jpg,45.51199,-122.65438
Burnside Shelter (Portland Rescue Mission),111 W Burnside St Portland OR 97209,Free,0,Food Pantry,/images/burnside.jpg,45.52315,-122.6722
Carl's Jr.,250 NE Columbia Blvd Portland OR 97211,$,0,Fast Food,/images/carlsJR.jpg,45.58133,-122.66219
Cha Cha Cha Taqueria,5225 N Lombard St Portland OR 97203,$$,0,Restaurant,/images/chacha.jpg,45.58194,-122.72205
City Team Portland,526 SE Grand Ave Portland OR 97214,Free,0,Food Pantry,/images/cityTeam.jpg,45.51898,-122.66067
Darcy's Restaurant & Bar,4804 N Lombard St Portland OR 97203,$,0,Restaurant,/images/darcyRes.jpg,45.58031,-122.71866
Drunken Noodle,5907 N Lombard St Portland OR 97203,$,0,Restaurant,/images/drunken.jpg,45.58448,-122.72967
Fishwife | Seafood Restaurant,5328 N Lombard St Portland OR 97203,$$,0,Restaurant,/images/fishWife.jpg,45.58249,-122.72489
Flying Pie Pizzeria,5314 N Lombard St Portland OR 97203,$$,0,Restaurant,/images/flyingPie.jpg,45.58257,-122.72417
Hands On Greater Portland,619 SW 11th Ave Portland OR 97205,Free,0,Food Pantry,/images/handOn.jpg,45.52083,-122.6832
Herb's Mac and Cheese,4255 SE Belmont St Portland OR 97215,$,0,Fast Food,/images/macAndCheese.jpg,45.51679,-122.61837
Hereford House Pantry,7704 N Hereford Ave #3434 Portland OR 97203,Free,0,Food Pantry,/images/hereford.jpg,45.58244,-122.72181
Homegrown Smoker,8638 N Lombard St Portland OR 97203,$$,0,Restaurant,/images/homegrown.jpg,45.59033,-122.7554
Huber's Café,411 SW 3rd Ave Portland OR 97204,$$,0,Restaurant,/images/huberCafe.jpg,45.52014,-122.67483
Jack in the Box,2260 NW Wilson St Portland OR 97210,$,0,Fast Food,/images/jackinBox.jpg,45.53739,-122.69846
Jack in the Box,2714 NE 57th Ave Portland OR 97213,$,0,Fast Food,/images/jackinBox.jpg,45.5437,-122.60466
Lift Urban Portland Pantry,7900 NE 33rd Dr Portland OR 97211,Free,0,Food Pantry,/images/liftUrban.jpg,45.58038,-122.63193
Little Big Burger,122 NW 10th Ave Portland OR 97209,$,0,Fast Food,/images/littleBurger.jpg,45.52419,-122.68084
Love Belizean,1503 SW Broadway Portland OR 97201,$,0,Restaurant,/images/belizean.jpg,45.51398,-122.68274
Lovely's Fifty Fifty,4039 N Mississippi Ave Portland OR 97217,$$,0,Restaurant,/images/fiftyfifty.jpg,45.5553,-122.67519
Mayas Taqueria,1000 SW Morrison St Portland OR 97205,$,0,Restaurant,/images/mayaTaq.jpg,45.51994,-122.6824
McDonald's,7487 N Ida Ave Portland OR 97203,$,0,Fast Food,/images/mcdonalds.jpg,45.58687,-122.73891
McDonald's,1035 SW 6th Ave Portland OR 97204,$,0,Fast Food,/images/mcdonalds.jpg,45.5167,-122.68022
McDonald's,8011 NE Martin Luther King Jr Blvd Portland OR 97211,$,0,Fast Food,/images/mcdonalds.jpg,45.58169,-122.66209
Mi Burrito Authentic Mexican Food,819 N Lombard St Portland OR 97217,$,0,Restaurant,/images/miBurrito.jpg,45.57735,-122.67526
Panda Express,1440 N Lombard St Portland OR 97217,$,0,Fast Food,/images/pandaEx.jpg,45.576983,-122.681837
Pok Pok,3226 SE Division St Portland OR 97202,$$,0,Restaurant,/images/pokpok.jpg,45.504582,-122.632145
Portland Food Hall,827 SW 2nd Ave Portland OR 97204,$,0,Fast Food,/images/foodHall.jpg,45.516992,-122.675441
Southpark Seafood,901 SW Salmon St Portland OR 97205,$$,0,Restaurant,/images/southSea.jpg,45.518031,-122.682379
Stretch The Noodle,223-269 SW Washington St Portland OR 97204,$,0,Restaurant,/images/stretchNoodle.jpg,45.519573,-122.674135
Sunshine Division,687 N Thompson St Portland OR 97227,Free,0,Food Pantry,/images/sunshine.jpg,45.538992,-122.673429
SuperDeluxe,5009 SE Powell Blvd Portland OR 97206,$,0,Fast Food,/images/superD.jpg,45.497748,-122.611079
Sushi Sakura,506 SW 6th Ave Portland OR 97204,$,0,Restaurant,/images/sushiS.jpg,45.520183,-122.677627
Taco Bell,4909 N Lombard St Portland OR 97203,$,0,Fast Food,/images/tacoBell.jpg,45.581073,-122.719381
Taco Bell,2079 W Burnside St Portland OR 97209,$,0,Fast Food,/images/tacoBell.jpg,45.523494,-122.694003
Taco Bell,4616 N Interstate Ave Portland OR 97217,$,0,Fast Food,/images/tacoBell.jpg,45.523494,-122.694003
Taco Bell,725 NE Weidler St Portland OR 97232,$,0,Fast Food,/images/tacoBell.jpg,45.534703,-122.657901
The Grilled Cheese Grill,1027 NE Alberta St Portland OR 97211,$,0,Fast Food,/images/grilledCh.jpg,45.559245,-122.654831
Wendy's,1421 NE Grand Ave Portland OR 97232,$,0,Fast Food,/images/wendys.jpg,45.533295,-122.661132
Wendy's,1405 N Lombard St Portland OR 97217,$,0,Fast Food,/images/wendys.jpg,45.577397,-122.68111
